 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD        uJy        duJy     stdev       x2         m       dm
57396.5      0      4          0       0 57396.645350 -11.356797    9.964897 17.017148 0.658909 20.211015      NaN
57397.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57398.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57399.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57400.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57401.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57402.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57403.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57404.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57405.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57406.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57407.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57408.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57409.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57410.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57411.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57412.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57413.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57414.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57415.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57416.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57417.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57418.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57419.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57420.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57421.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57422.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57423.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57424.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57425.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57426.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57427.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57428.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57429.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57430.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57431.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57432.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57433.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57434.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57435.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57436.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57437.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
57438.5      0      0          0 8388608          NaN        NaN         NaN       NaN      NaN       NaN      NaN
